person_unique_id,job_id,panel_number,round_number,insurance_offered,temporary_job,salaried_employee,hourly_wage,hours_per_week
2460068101,24600681017102,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460068101,24600681018102,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460068101,24600681019102,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460085101,24600851017103,24,7,No,Inapplicable,No,8.65,4.0
2460085101,24600851017104,24,7,No,Inapplicable,Inapplicable,Inapplicable,9.0
2460085101,24600851018103,24,8,No,Inapplicable,Inapplicable,Inapplicable,4.0
2460085101,24600851018104,24,8,No,Yes,No,10.0,7.0
2460085101,24600851019104,24,9,No,Inapplicable,No,10.0,7.0
2460102101,24601021017104,24,7,Inapplicable,Inapplicable,No,19.05,50.0
2460102101,24601021018104,24,8,Inapplicable,Inapplicable,No,19.05,50.0
2460102101,24601021019104,24,9,Inapplicable,Inapplicable,No,19.05,50.0
2460102102,24601021027103,24,7,No,Inapplicable,No,17.0,32.0
2460102102,24601021028103,24,8,No,Inapplicable,No,17.0,32.0
2460102102,24601021029103,24,9,No,Inapplicable,No,17.0,32.0
2460107102,24601071027105,24,7,Inapplicable,No,Yes,Don't know,Don't know
2460107102,24601071028105,24,8,Inapplicable,Inapplicable,Yes,Don't know,Don't know
2460107102,24601071029105,24,9,Inapplicable,Inapplicable,Yes,Don't know,Don't know
2460107103,24601071039106,24,9,No,No,No,Don't know,Don't know
2460108101,24601081017103,24,7,No,Inapplicable,Inapplicable,Inapplicable,Inapplicable
2460108102,24601081027102,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460108102,24601081028102,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460108102,24601081029102,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460112101,24601121017101,24,7,No,Inapplicable,Inapplicable,Inapplicable,1.0
2460112101,24601121018103,24,8,No,No,No,15.0,10.0
2460112101,24601121019103,24,9,No,Inapplicable,No,15.0,10.0
2460114102,24601141027101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,35.0
2460114102,24601141028101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,35.0
2460114102,24601141029101,24,9,Inapplicable,Inapplicable,Inapplicable,Inapplicable,35.0
2460114103,24601141037104,24,7,Yes,Inapplicable,Inapplicable,Inapplicable,8.0
2460116101,24601161017103,24,7,No,Inapplicable,No,17.5,45.0
2460116101,24601161018103,24,8,No,Inapplicable,No,17.5,45.0
2460116101,24601161019103,24,9,No,Inapplicable,No,17.5,45.0
2460123107,24601231077201,24,7,Inapplicable,Inapplicable,No,21.0,40.0
2460123107,24601231078201,24,8,Inapplicable,Inapplicable,Inapplicable,Inapplicable,40.0
2460123107,24601231078202,24,8,Yes,No,No,19.5,40.0
2460123107,24601231079202,24,9,Yes,Inapplicable,Inapplicable,Inapplicable,40.0
2460125101,24601251017101,24,7,Inapplicable,Inapplicable,No,27.0,40.0
2460125101,24601251018101,24,8,Inapplicable,Inapplicable,No,27.0,40.0
2460125101,24601251019101,24,9,Inapplicable,Inapplicable,No,27.0,40.0
2460126101,24601261017105,24,7,No,Inapplicable,Unknown/Not reported,Inapplicable,Don't know
2460126101,24601261018105,24,8,No,Inapplicable,Unknown/Not reported,Inapplicable,Don't know
2460126101,24601261019105,24,9,No,Inapplicable,Unknown/Not reported,Inapplicable,Don't know
2460132101,24601321017101,24,7,Inapplicable,Inapplicable,Unknown/Not reported,Inapplicable,40.0
2460132101,24601321018101,24,8,Inapplicable,Inapplicable,Unknown/Not reported,Inapplicable,40.0
2460132101,24601321019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460132102,24601321027102,24,7,No,Inapplicable,Unknown/Not reported,Inapplicable,40.0
2460132102,24601321028102,24,8,No,Inapplicable,Unknown/Not reported,Inapplicable,40.0
2460132102,24601321029102,24,9,No,Inapplicable,Unknown/Not reported,Inapplicable,40.0
2460134101,24601341017103,24,7,Yes,Inapplicable,Unknown/Not reported,Inapplicable,60.0
2460134101,24601341018103,24,8,Yes,Inapplicable,Unknown/Not reported,Inapplicable,60.0
2460134101,24601341019103,24,9,Yes,Inapplicable,Unknown/Not reported,Inapplicable,60.0
2460134102,24601341027101,24,7,Inapplicable,Inapplicable,No,14.92,65.0
2460134102,24601341028101,24,8,Inapplicable,Inapplicable,No,15.0,65.0
2460134102,24601341029101,24,9,Inapplicable,Inapplicable,No,15.0,65.0
2460137101,24601371017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460137101,24601371018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460137101,24601371019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460137102,24601371027102,24,7,Yes,Inapplicable,No,13.5,40.0
2460137102,24601371028102,24,8,Yes,Inapplicable,No,14.05,40.0
2460137102,24601371029102,24,9,Yes,Inapplicable,No,14.05,40.0
2460144101,24601441017102,24,7,Inapplicable,Inapplicable,No,35.0,42.0
2460144101,24601441018102,24,8,Inapplicable,Inapplicable,No,35.0,42.0
2460144101,24601441019102,24,9,Inapplicable,Inapplicable,No,35.0,42.0
2460144103,24601441037101,24,7,Inapplicable,Inapplicable,No,14.0,32.0
2460144103,24601441038101,24,8,Inapplicable,Inapplicable,No,14.5,32.0
2460144103,24601441039101,24,9,Inapplicable,Inapplicable,Inapplicable,Inapplicable,32.0
2460144104,24601441047107,24,7,Yes,Inapplicable,No,34.68,40.0
2460144104,24601441048107,24,8,Yes,Inapplicable,Yes,Inapplicable,40.0
2460144104,24601441049107,24,9,Yes,Inapplicable,Yes,Inapplicable,40.0
2460148101,24601481017101,24,7,No,Inapplicable,Inapplicable,Inapplicable,17.0
2460148101,24601481018101,24,8,No,Inapplicable,Inapplicable,Inapplicable,17.0
2460148101,24601481019101,24,9,No,Inapplicable,Inapplicable,Inapplicable,17.0
2460150101,24601501017101,24,7,No,Inapplicable,Unknown/Not reported,Don't know,15.0
2460150101,24601501018101,24,8,No,Inapplicable,Unknown/Not reported,Don't know,15.0
2460150101,24601501019101,24,9,No,Inapplicable,Unknown/Not reported,Don't know,15.0
2460150102,24601501027102,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460150102,24601501028102,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460150102,24601501029102,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460150103,24601501039103,24,9,No,Yes,Refused,Inapplicable,20.0
2460157105,24601571057106,24,7,Refused,Inapplicable,Inapplicable,Inapplicable,40.0
2460157105,24601571058107,24,8,Don't know,Don't know,Yes,Don't know,40.0
2460157105,24601571058108,24,8,Inapplicable,No,Inapplicable,Inapplicable,40.0
2460157105,24601571059107,24,9,Don't know,Inapplicable,Yes,Don't know,40.0
2460157105,24601571059108,24,9,Inapplicable,Inapplicable,Inapplicable,Inapplicable,40.0
2460158101,24601581017102,24,7,Inapplicable,Inapplicable,No,50.0,5.0
2460158101,24601581018102,24,8,Inapplicable,Inapplicable,No,50.0,5.0
2460158101,24601581019102,24,9,Inapplicable,Inapplicable,Inapplicable,Inapplicable,5.0
2460161101,24601611017101,24,7,Inapplicable,Inapplicable,No,25.0,40.0
2460161101,24601611018101,24,8,Inapplicable,Inapplicable,No,25.0,40.0
2460161101,24601611019101,24,9,Inapplicable,Inapplicable,No,25.0,40.0
2460161105,24601611057102,24,7,No,No,No,Don't know,40.0
2460161105,24601611058102,24,8,No,Inapplicable,No,Don't know,40.0
2460161105,24601611059102,24,9,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460166101,24601661017101,24,7,No,Inapplicable,Inapplicable,Inapplicable,50.0
2460166101,24601661018101,24,8,No,Inapplicable,Inapplicable,Inapplicable,50.0
2460166101,24601661019101,24,9,No,Inapplicable,Inapplicable,Inapplicable,50.0
2460171101,24601711017101,24,7,No,Inapplicable,Inapplicable,Inapplicable,60.0
2460171101,24601711018101,24,8,No,Inapplicable,Inapplicable,Inapplicable,60.0
2460171101,24601711019101,24,9,No,Inapplicable,Inapplicable,Inapplicable,60.0
2460174101,24601741017101,24,7,Inapplicable,Inapplicable,No,17.0,45.0
2460174101,24601741018101,24,8,Inapplicable,Inapplicable,No,20.0,45.0
2460174101,24601741019101,24,9,Inapplicable,Inapplicable,No,20.0,45.0
2460177101,24601771017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460177101,24601771018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460177101,24601771019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460177102,24601771027103,24,7,No,Inapplicable,Inapplicable,Inapplicable,10.0
2460189102,24601891027101,24,7,No,Inapplicable,Yes,Inapplicable,Don't know
2460189102,24601891028101,24,8,No,Inapplicable,Yes,Inapplicable,Don't know
2460189102,24601891029101,24,9,No,Inapplicable,Yes,Inapplicable,Don't know
2460192101,24601921019103,24,9,Yes,No,No,12.0,40.0
2460207101,24602071017101,24,7,Inapplicable,Inapplicable,No,43.0,30.0
2460207101,24602071017102,24,7,No,Inapplicable,Inapplicable,Inapplicable,Don't know
2460207101,24602071018101,24,8,Inapplicable,Inapplicable,No,45.0,30.0
2460207101,24602071019101,24,9,Inapplicable,Inapplicable,No,45.0,30.0
2460208101,24602081017101,24,7,Inapplicable,Inapplicable,No,60.0,34.0
2460208101,24602081018101,24,8,Inapplicable,Inapplicable,No,72.0,34.0
2460208101,24602081019101,24,9,Inapplicable,Inapplicable,No,75.0,34.0
2460208102,24602081027102,24,7,No,Inapplicable,Inapplicable,Inapplicable,45.0
2460208102,24602081028102,24,8,No,Inapplicable,Inapplicable,Inapplicable,45.0
2460208102,24602081029102,24,9,No,Inapplicable,Inapplicable,Inapplicable,45.0
2460208103,24602081037201,24,7,Inapplicable,Inapplicable,No,18.0,40.0
2460208103,24602081038201,24,8,Inapplicable,Inapplicable,No,18.0,40.0
2460208103,24602081039201,24,9,Inapplicable,Inapplicable,No,18.0,40.0
2460208104,24602081047301,24,7,No,No,No,13.0,36.0
2460208104,24602081048301,24,8,No,Inapplicable,Inapplicable,Inapplicable,36.0
2460208104,24602081048302,24,8,No,No,No,16.5,40.0
2460208104,24602081049302,24,9,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460208104,24602081049304,24,9,Inapplicable,No,No,20.43,43.0
2460222101,24602221017101,24,7,Inapplicable,Inapplicable,No,39.53,45.0
2460222101,24602221018101,24,8,Inapplicable,Inapplicable,No,39.53,45.0
2460222101,24602221019101,24,9,Inapplicable,Inapplicable,No,41.4,45.0
2460223101,24602231018107,24,8,No,No,No,12.0,40.0
2460223101,24602231019107,24,9,No,Inapplicable,No,13.0,40.0
2460223104,24602231047105,24,7,Inapplicable,Inapplicable,Inapplicable,Inapplicable,Don't know
2460223104,24602231047106,24,7,No,No,Inapplicable,Inapplicable,Don't know
2460223104,24602231048106,24,8,No,Inapplicable,Inapplicable,Inapplicable,Don't know
2460223104,24602231049106,24,9,No,Inapplicable,Inapplicable,Inapplicable,Don't know
2460231102,24602311027101,24,7,No,Inapplicable,Inapplicable,Inapplicable,17.0
2460231102,24602311027102,24,7,No,Inapplicable,Inapplicable,Inapplicable,35.0
2460231102,24602311028101,24,8,No,Inapplicable,Inapplicable,Inapplicable,17.0
2460231102,24602311028102,24,8,No,Inapplicable,Inapplicable,Inapplicable,35.0
2460231102,24602311029101,24,9,No,Inapplicable,Inapplicable,Inapplicable,17.0
2460231102,24602311029102,24,9,No,Inapplicable,Inapplicable,Inapplicable,35.0
2460240102,24602401027103,24,7,No,Inapplicable,No,13.0,20.0
2460240102,24602401028103,24,8,No,Inapplicable,No,13.0,20.0
2460240102,24602401029103,24,9,No,Inapplicable,No,13.0,20.0
2460240104,24602401047112,24,7,Yes,No,No,2.13,25.0
2460240104,24602401048112,24,8,Yes,Inapplicable,Inapplicable,Inapplicable,25.0
2460240104,24602401049114,24,9,Don't know,No,No,2.13,Don't know
2460240105,24602401057113,24,7,Yes,No,No,12.0,25.0
2460240105,24602401058113,24,8,Yes,Inapplicable,Inapplicable,Inapplicable,25.0
2460240105,24602401059115,24,9,Don't know,No,No,Don't know,Don't know
2460247101,24602471017101,24,7,Yes,Inapplicable,No,18.0,36.0
2460247101,24602471018101,24,8,Yes,Inapplicable,No,37.0,36.0
2460247101,24602471018103,24,8,Don't know,No,Inapplicable,Inapplicable,37.0
2460247101,24602471019101,24,9,Yes,Inapplicable,No,37.0,36.0
2460247101,24602471019103,24,9,Don't know,Inapplicable,Inapplicable,Inapplicable,37.0
2460247102,24602471027102,24,7,Inapplicable,Inapplicable,No,30.0,40.0
2460247102,24602471028102,24,8,Inapplicable,Inapplicable,No,30.0,40.0
2460247102,24602471029102,24,9,Inapplicable,Inapplicable,No,30.0,40.0
2460252101,24602521017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,55.0
2460252101,24602521018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,55.0
2460252101,24602521019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,55.0
2460258101,24602581017112,24,7,No,No,No,15.5,40.0
2460258101,24602581017113,24,7,No,Yes,No,Don't know,32.0
2460258101,24602581018112,24,8,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460258101,24602581018114,24,8,No,Yes,No,17.0,30.0
2460258101,24602581018115,24,8,No,Yes,Inapplicable,Inapplicable,16.0
2460258101,24602581019114,24,9,No,Inapplicable,Inapplicable,Inapplicable,30.0
2460258101,24602581019115,24,9,No,Yes,No,16.0,20.0
2460258101,24602581019116,24,9,No,Inapplicable,Inapplicable,Inapplicable,Inapplicable
2460261101,24602611017105,24,7,No,Inapplicable,Inapplicable,Inapplicable,4.0
2460261101,24602611018105,24,8,No,Inapplicable,Inapplicable,Inapplicable,4.0
2460261102,24602611027102,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460261102,24602611028102,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460261102,24602611029102,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460262101,24602621017101,24,7,No,Inapplicable,No,15.0,7.0
2460262101,24602621018101,24,8,No,Inapplicable,No,15.0,7.0
2460262101,24602621019101,24,9,No,Inapplicable,No,15.0,7.0
2460270101,24602701017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460270101,24602701018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460270101,24602701019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460270102,24602701027102,24,7,Inapplicable,Inapplicable,No,Refused,40.0
2460270102,24602701028102,24,8,Inapplicable,Inapplicable,No,Refused,40.0
2460270102,24602701029102,24,9,Inapplicable,Inapplicable,No,Refused,40.0
2460283101,24602831017103,24,7,Don't know,No,No,Refused,20.0
2460283101,24602831018103,24,8,Don't know,Inapplicable,No,Refused,20.0
2460283101,24602831019103,24,9,Don't know,Inapplicable,No,Refused,20.0
2460283102,24602831027104,24,7,No,No,No,Refused,20.0
2460283102,24602831028105,24,8,Don't know,Yes,No,Refused,30.0
2460284103,24602841037202,24,7,Yes,Inapplicable,Yes,Inapplicable,40.0
2460284103,24602841038202,24,8,Yes,Inapplicable,Yes,Inapplicable,40.0
2460284103,24602841039202,24,9,Yes,Inapplicable,Yes,Inapplicable,40.0
2460293101,24602931017102,24,7,Yes,Inapplicable,No,18.0,40.0
2460293101,24602931018102,24,8,Yes,Inapplicable,No,18.0,40.0
2460293101,24602931019102,24,9,Yes,Inapplicable,No,20.0,40.0
2460301101,24603011017102,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460301101,24603011018102,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460301101,24603011019102,24,9,Inapplicable,Inapplicable,Inapplicable,Inapplicable,50.0
2460301101,24603011019103,24,9,Inapplicable,No,Yes,Inapplicable,50.0
2460301102,24603011027101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460301102,24603011028101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460301102,24603011029101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460306101,24603061017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460306101,24603061018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460306101,24603061019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,45.0
2460306102,24603061027103,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460306102,24603061028103,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460306102,24603061029103,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460308101,24603081017102,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,70.0
2460308101,24603081018102,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,70.0
2460308101,24603081019102,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,70.0
2460308102,24603081027101,24,7,Yes,Inapplicable,No,21.0,45.0
2460308102,24603081028101,24,8,Yes,Inapplicable,Yes,Inapplicable,45.0
2460308102,24603081029101,24,9,Yes,Inapplicable,Yes,Inapplicable,45.0
2460308102,24603081029108,24,9,Yes,No,Inapplicable,Inapplicable,40.0
2460308104,24603081047104,24,7,No,Inapplicable,No,10.0,15.0
2460308104,24603081047105,24,7,No,Inapplicable,Inapplicable,Inapplicable,15.0
2460308104,24603081048104,24,8,No,Inapplicable,No,10.0,15.0
2460308104,24603081048105,24,8,No,Inapplicable,Inapplicable,Inapplicable,15.0
2460308104,24603081049104,24,9,No,Inapplicable,No,10.0,15.0
2460308104,24603081049105,24,9,No,Inapplicable,Inapplicable,Inapplicable,15.0
2460315101,24603151017101,24,7,Inapplicable,Inapplicable,No,27.8,55.0
2460315101,24603151018101,24,8,Inapplicable,Inapplicable,No,27.8,55.0
2460315101,24603151019101,24,9,Inapplicable,Inapplicable,No,27.8,55.0
2460336101,24603361017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,44.0
2460336101,24603361018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,44.0
2460336101,24603361019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,44.0
2460337101,24603371017103,24,7,Inapplicable,Inapplicable,No,29.0,40.0
2460337101,24603371018103,24,8,Inapplicable,Inapplicable,No,29.0,40.0
2460337101,24603371019103,24,9,Inapplicable,Inapplicable,No,29.0,40.0
2460337102,24603371027102,24,7,Yes,Inapplicable,No,20.0,40.0
2460337102,24603371028102,24,8,Yes,Inapplicable,No,20.0,40.0
2460337102,24603371029102,24,9,Yes,Inapplicable,No,20.0,40.0
2460341102,24603411027101,24,7,No,Inapplicable,Inapplicable,Inapplicable,12.0
2460341102,24603411028101,24,8,No,Inapplicable,Inapplicable,Inapplicable,12.0
2460341102,24603411029101,24,9,No,Inapplicable,Inapplicable,Inapplicable,12.0
2460348101,24603481017101,24,7,No,Inapplicable,Inapplicable,Inapplicable,2.0
2460348101,24603481018101,24,8,No,Inapplicable,Inapplicable,Inapplicable,2.0
2460348101,24603481019101,24,9,No,Inapplicable,Inapplicable,Inapplicable,2.0
2460348102,24603481027103,24,7,No,Inapplicable,No,12.3,20.0
2460348102,24603481028103,24,8,No,Inapplicable,No,Don't know,20.0
2460348102,24603481029103,24,9,No,Inapplicable,No,Don't know,20.0
2460355101,24603551017103,24,7,No,Inapplicable,Inapplicable,Inapplicable,3.0
2460355101,24603551017104,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460355101,24603551018103,24,8,No,Inapplicable,Inapplicable,Inapplicable,3.0
2460355101,24603551018104,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460355101,24603551019103,24,9,No,Inapplicable,Inapplicable,Inapplicable,3.0
2460355101,24603551019104,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460355102,24603551027105,24,7,No,No,Inapplicable,Inapplicable,20.0
2460355102,24603551028105,24,8,No,Inapplicable,Inapplicable,Inapplicable,20.0
2460355102,24603551029105,24,9,No,Inapplicable,Inapplicable,Inapplicable,20.0
2460355113,24603551139106,24,9,No,Inapplicable,Inapplicable,Inapplicable,Inapplicable
2460358101,24603581017104,24,7,Don't know,Inapplicable,No,17.3,40.0
2460358101,24603581018104,24,8,Don't know,Inapplicable,No,18.06,40.0
2460358101,24603581019104,24,9,Don't know,Inapplicable,No,21.12,40.0
2460358107,24603581077105,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460358107,24603581078105,24,8,Inapplicable,Inapplicable,Inapplicable,Inapplicable,50.0
2460358107,24603581078106,24,8,Yes,No,Yes,Inapplicable,45.0
2460358107,24603581079106,24,9,Yes,Inapplicable,Yes,Inapplicable,45.0
2460369101,24603691017101,24,7,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460369101,24603691018101,24,8,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460369101,24603691019101,24,9,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460369102,24603691027106,24,7,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460369102,24603691027107,24,7,Yes,No,Unknown/Not reported,Inapplicable,30.0
2460369102,24603691027109,24,7,No,Inapplicable,Inapplicable,Inapplicable,8.0
2460369102,24603691028107,24,8,Yes,Inapplicable,Inapplicable,Inapplicable,30.0
2460369102,24603691028109,24,8,Yes,No,No,33.0,2.0
2460369102,24603691029109,24,9,Yes,Inapplicable,No,33.0,2.0
2460371109,24603711098102,24,8,Inapplicable,No,No,25.0,40.0
2460371109,24603711099102,24,9,Inapplicable,Inapplicable,No,25.0,40.0
2460372101,24603721017102,24,7,No,Inapplicable,No,16.0,50.0
2460372101,24603721018102,24,8,No,Inapplicable,No,16.0,50.0
2460372101,24603721019102,24,9,No,Inapplicable,No,16.0,50.0
2460372102,24603721027104,24,7,No,No,No,15.0,15.0
2460372102,24603721028104,24,8,No,Inapplicable,No,15.0,15.0
2460372102,24603721029104,24,9,No,Inapplicable,No,15.0,15.0
2460374101,24603741017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460374101,24603741018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460374101,24603741019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460374102,24603741027102,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460374102,24603741028102,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460374102,24603741029102,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,50.0
2460380101,24603801018103,24,8,No,No,No,Refused,46.0
2460380101,24603801019103,24,9,No,Inapplicable,No,Refused,46.0
2460382101,24603821017104,24,7,Yes,Inapplicable,No,20.5,45.0
2460382101,24603821018104,24,8,Yes,Inapplicable,No,20.5,45.0
2460382101,24603821019104,24,9,Yes,Inapplicable,No,20.5,45.0
2460382102,24603821027101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,60.0
2460382102,24603821028101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,60.0
2460382102,24603821029101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,60.0
2460382103,24603821038108,24,8,No,Yes,No,9.5,25.0
2460395101,24603951017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460395101,24603951018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460395101,24603951019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460395102,24603951027102,24,7,Yes,Inapplicable,Yes,Don't know,32.0
2460395102,24603951028102,24,8,Yes,Inapplicable,Yes,Don't know,32.0
2460395102,24603951029102,24,9,Yes,Inapplicable,Yes,Don't know,32.0
2460398101,24603981017104,24,7,No,Inapplicable,Inapplicable,Inapplicable,20.0
2460398101,24603981017105,24,7,No,Inapplicable,Inapplicable,Inapplicable,16.0
2460398101,24603981019107,24,9,Yes,No,No,15.35,30.0
2460406101,24604061017102,24,7,No,Inapplicable,Inapplicable,Inapplicable,25.0
2460410101,24604101017101,24,7,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460410101,24604101018101,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460410101,24604101019101,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460410102,24604101027102,24,7,No,Inapplicable,Yes,Inapplicable,50.0
2460410102,24604101028102,24,8,No,Inapplicable,Yes,Inapplicable,50.0
